protocol_version,workload,scenario,config,runs,success_rate,measure_median_ms,q1_ms,q3_ms,prime_median_ms,speedup_vs_baseline,binary_equal_rate,visual_equal_rate,median_changed_pages,status_counts,measure_ci95_low_ms,measure_ci95_high_ms
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20,1.0,7062.368,7059.665,7072.519,0.0,1.0,0.0,1.0,0.0,"{""ok"": 20}",7060.748,7070.193
v0.2-prime-measure,W1_text_math,S0_clean_build,B1_latexmk,20,1.0,8015.753,8011.604,8017.799,0.0,0.8811,0.0,1.0,0.0,"{""ok"": 20}",8012.184,8017.553
v0.2-prime-measure,W1_text_math,S1_text_edit,B0_baseline_xelatex,20,1.0,7067.925,7060.976,7073.141,7069.746,1.0,0.0,1.0,0.0,"{""ok"": 20}",7061.663,7071.025
v0.2-prime-measure,W1_text_math,S1_text_edit,B1_latexmk,20,1.0,4016.699,4012.859,4018.91,8013.924,1.7596,0.0,1.0,0.0,"{""ok"": 20}",4013.341,4018.689
v0.2-prime-measure,W1_text_math,S2_bib_edit,B0_baseline_xelatex,20,1.0,7072.255,7067.39,7077.709,7065.605,1.0,0.0,1.0,0.0,"{""ok"": 20}",7068.023,7076.129
v0.2-prime-measure,W1_text_math,S2_bib_edit,B1_latexmk,20,1.0,8016.323,8012.042,8019.824,8015.28,0.8822,0.0,1.0,0.0,"{""ok"": 20}",8013.121,8018.392
v0.2-prime-measure,W1_text_math,S3_figure_edit,B0_baseline_xelatex,20,1.0,7066.908,7057.415,7073.101,7069.104,1.0,0.0,1.0,0.0,"{""ok"": 20}",7058.445,7072.1
v0.2-prime-measure,W1_text_math,S3_figure_edit,B1_latexmk,20,1.0,4016.914,4013.844,4020.518,8016.867,1.7593,0.0,1.0,0.0,"{""ok"": 20}",4014.678,4020.407
v0.2-prime-measure,W1_text_math,S4_preamble_edit,B0_baseline_xelatex,20,1.0,7070.481,7063.955,7074.349,7065.505,1.0,0.0,1.0,0.0,"{""ok"": 20}",7064.631,7073.976
v0.2-prime-measure,W1_text_math,S4_preamble_edit,B1_latexmk,20,1.0,4015.025,4013.494,4018.295,8016.002,1.761,0.0,1.0,0.0,"{""ok"": 20}",4013.754,4017.888
v0.2-prime-measure,W2_cjk_font,S0_clean_build,B0_baseline_xelatex,20,1.0,7071.031,7065.962,7084.617,0.0,1.0,0.0,1.0,0.0,"{""ok"": 20}",7067.772,7079.404
v0.2-prime-measure,W2_cjk_font,S0_clean_build,B1_latexmk,20,1.0,9015.913,9013.311,9018.524,0.0,0.7843,0.0,1.0,0.0,"{""ok"": 20}",9013.644,9018.243
v0.2-prime-measure,W2_cjk_font,S1_text_edit,B0_baseline_xelatex,20,1.0,7068.147,7063.37,7074.965,7071.494,1.0,0.0,1.0,0.0,"{""ok"": 20}",7064.151,7072.617
v0.2-prime-measure,W2_cjk_font,S1_text_edit,B1_latexmk,20,1.0,4015.636,4011.392,4019.983,9016.984,1.7602,0.0,1.0,0.0,"{""ok"": 20}",4011.722,4018.986
v0.2-prime-measure,W2_cjk_font,S2_bib_edit,B0_baseline_xelatex,20,1.0,7068.191,7056.476,7076.36,7074.868,1.0,0.0,1.0,0.0,"{""ok"": 20}",7058.639,7075.751
v0.2-prime-measure,W2_cjk_font,S2_bib_edit,B1_latexmk,20,1.0,9015.11,9011.528,9018.619,9013.055,0.784,0.0,1.0,0.0,"{""ok"": 20}",9012.258,9018.24
v0.2-prime-measure,W2_cjk_font,S3_figure_edit,B0_baseline_xelatex,20,1.0,7069.704,7064.708,7073.752,7067.577,1.0,0.0,1.0,0.0,"{""ok"": 20}",7064.964,7072.396
v0.2-prime-measure,W2_cjk_font,S3_figure_edit,B1_latexmk,20,1.0,4014.159,4012.656,4019.229,9017.033,1.7612,0.0,1.0,0.0,"{""ok"": 20}",4013.086,4018.34
v0.2-prime-measure,W2_cjk_font,S4_preamble_edit,B0_baseline_xelatex,20,1.0,7061.431,7056.212,7072.025,7072.775,1.0,0.0,1.0,0.0,"{""ok"": 20}",7056.549,7069.816
v0.2-prime-measure,W2_cjk_font,S4_preamble_edit,B1_latexmk,20,1.0,4015.646,4011.275,4018.415,9014.342,1.7585,0.0,1.0,0.0,"{""ok"": 20}",4011.314,4017.467
v0.2-prime-measure,W4_tikz,S0_clean_build,B0_baseline_xelatex,20,1.0,10077.142,10065.124,10080.289,0.0,1.0,0.0,1.0,0.0,"{""ok"": 20}",10069.591,10079.595
v0.2-prime-measure,W4_tikz,S0_clean_build,B1_latexmk,20,1.0,10015.934,10009.506,10018.303,0.0,1.0061,0.0,1.0,0.0,"{""ok"": 20}",10009.557,10017.817
v0.2-prime-measure,W4_tikz,S1_text_edit,B0_baseline_xelatex,20,1.0,10067.064,10061.437,10072.687,10064.73,1.0,0.0,1.0,0.0,"{""ok"": 20}",10062.347,10072.136
v0.2-prime-measure,W4_tikz,S1_text_edit,B1_latexmk,20,1.0,4020.809,4015.043,4022.515,10015.022,2.5037,0.0,1.0,0.0,"{""ok"": 20}",4016.792,4022.325
v0.2-prime-measure,W4_tikz,S2_bib_edit,B0_baseline_xelatex,20,1.0,10069.815,10063.433,10073.367,10068.022,1.0,0.0,1.0,0.0,"{""ok"": 20}",10064.576,10072.617
