workload,scenario,config,paired_runs,measure_median_ms,q1_ms,q3_ms,measure_ci95_low_ms,measure_ci95_high_ms,speedup_vs_baseline,wilcoxon_statistic,wilcoxon_raw_p,holm_p,reject_holm_0_05,pairing_rule
W1_text_math,S0_clean_build,B1_latexmk,20,8015.753,8011.604,8017.799,8012.184,8017.553,0.8811,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W1_text_math,S1_text_edit,B1_latexmk,20,4016.699,4012.859,4018.91,4013.341,4018.689,1.7596,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W1_text_math,S2_bib_edit,B1_latexmk,20,8016.323,8012.042,8019.824,8013.121,8018.392,0.8822,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W1_text_math,S3_figure_edit,B1_latexmk,20,4016.914,4013.844,4020.518,4014.678,4020.407,1.7593,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W1_text_math,S4_preamble_edit,B1_latexmk,20,4015.025,4013.494,4018.295,4013.754,4017.888,1.761,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W2_cjk_font,S0_clean_build,B1_latexmk,20,9015.913,9013.311,9018.524,9013.644,9018.243,0.7843,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W2_cjk_font,S1_text_edit,B1_latexmk,20,4015.636,4011.392,4019.983,4011.722,4018.986,1.7602,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W2_cjk_font,S2_bib_edit,B1_latexmk,20,9015.11,9011.528,9018.619,9012.258,9018.24,0.784,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W2_cjk_font,S3_figure_edit,B1_latexmk,20,4014.159,4012.656,4019.229,4013.086,4018.34,1.7612,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W2_cjk_font,S4_preamble_edit,B1_latexmk,20,4015.646,4011.275,4018.415,4011.314,4017.467,1.7585,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W4_tikz,S0_clean_build,B1_latexmk,20,10015.934,10009.506,10018.303,10009.557,10017.817,1.0061,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W4_tikz,S1_text_edit,B1_latexmk,20,4020.809,4015.043,4022.515,4016.792,4022.325,2.5037,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W4_tikz,S2_bib_edit,B1_latexmk,20,10017.449,10014.849,10019.807,10015.907,10019.575,1.0052,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W4_tikz,S3_figure_edit,B1_latexmk,20,4017.575,4014.442,4018.375,4015.108,4017.93,2.5059,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W4_tikz,S4_preamble_edit,B1_latexmk,20,4014.665,4012.425,4019.289,4012.49,4018.809,2.5066,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S0_clean_build,B1_latexmk,20,38016.504,38013.127,38021.145,38013.483,38020.796,1.1328,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S0_clean_build,B4_minted_cache,20,19016.497,19011.293,19019.429,19011.956,19019.272,2.2646,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S1_text_edit,B1_latexmk,20,14015.135,14009.802,14018.702,14010.164,14018.014,3.0728,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S1_text_edit,B4_minted_cache,20,6016.746,6013.583,6019.263,6013.875,6019.151,7.1576,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S2_bib_edit,B1_latexmk,20,38014.567,38011.815,38018.173,38012.112,38017.462,1.1329,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S2_bib_edit,B4_minted_cache,20,16018.985,16013.517,16022.063,16014.611,16021.677,2.6885,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S3_figure_edit,B1_latexmk,20,14010.87,13761.288,14012.485,14007.431,14012.113,3.0738,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S3_figure_edit,B4_minted_cache,20,6011.453,6009.796,6015.968,6009.818,6014.846,7.164,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S4_preamble_edit,B1_latexmk,20,14014.223,14011.249,14017.976,14011.935,14017.764,3.0728,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
W5_minted,S4_preamble_edit,B4_minted_cache,20,6014.192,6011.055,6020.169,6011.436,6018.968,7.1603,0.0,1.9073486328125e-06,4.76837158203125e-05,True,sorted_run_id_within_group
